epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,474.335,0.23027,0.73268,0.79129,0.92464,0.95996,0.995,0.95372,0.29761,0.2948,0.74914,0.000717546,0.000717546,0.000717546
44,485.169,0.22582,0.77885,0.79693,0.98432,0.94488,0.995,0.92934,0.30738,0.276,0.75356,0.000714797,0.000714797,0.000714797
45,496.028,0.20863,0.70002,0.78681,0.97763,0.94548,0.995,0.93648,0.31344,0.28582,0.75591,0.000712048,0.000712048,0.000712048
46,506.874,0.2118,0.66525,0.79022,0.96471,0.94867,0.995,0.9333,0.31013,0.27867,0.75569,0.000709299,0.000709299,0.000709299
47,517.745,0.21171,0.67519,0.79455,0.97995,0.94523,0.995,0.93306,0.31085,0.26629,0.76153,0.000706551,0.000706551,0.000706551
48,528.634,0.21706,0.68558,0.79014,0.97218,0.94797,0.995,0.94493,0.31198,0.26482,0.76157,0.000703802,0.000703802,0.000703802
49,539.507,0.2013,0.61981,0.78493,0.94623,0.95464,0.995,0.94664,0.29818,0.28332,0.7591,0.000701053,0.000701053,0.000701053
50,550.317,0.20304,0.60934,0.78304,0.93884,0.95464,0.995,0.94342,0.30908,0.28096,0.75754,0.000698304,0.000698304,0.000698304
51,561.073,0.21194,0.66605,0.79335,0.95166,0.95284,0.995,0.9395,0.3117,0.27983,0.75573,0.000695555,0.000695555,0.000695555
52,571.916,0.21194,0.63304,0.78611,0.95663,0.95057,0.995,0.94168,0.30458,0.29086,0.75375,0.000692806,0.000692806,0.000692806
53,582.587,0.21052,0.62557,0.78651,0.95535,0.95085,0.995,0.94643,0.28893,0.29613,0.75052,0.000690057,0.000690057,0.000690057
54,593.239,0.22093,0.5912,0.78286,0.98108,0.94538,0.995,0.94574,0.31345,0.28132,0.75493,0.000687308,0.000687308,0.000687308
55,603.848,0.19986,0.57277,0.78677,0.97506,0.94966,0.995,0.94185,0.30683,0.25942,0.75484,0.000684559,0.000684559,0.000684559
56,614.482,0.19932,0.55697,0.78021,0.9824,0.94525,0.995,0.9362,0.30521,0.2401,0.75484,0.00068181,0.00068181,0.00068181
57,625.096,0.19853,0.53066,0.77485,0.98173,0.94312,0.995,0.93084,0.29222,0.25888,0.75437,0.000679062,0.000679062,0.000679062
58,635.631,0.20074,0.55618,0.77087,0.97949,0.94552,0.995,0.9511,0.31199,0.26792,0.75778,0.000676313,0.000676313,0.000676313
59,646.308,0.2054,0.53236,0.78214,0.97781,0.94571,0.995,0.94008,0.31914,0.27916,0.76242,0.000673564,0.000673564,0.000673564
60,656.927,0.20073,0.52567,0.79233,0.96718,0.94846,0.995,0.93558,0.30644,0.2732,0.7576,0.000670815,0.000670815,0.000670815
61,667.612,0.19492,0.51075,0.78744,0.97407,0.94657,0.995,0.94799,0.29473,0.27238,0.75464,0.000668066,0.000668066,0.000668066
62,678.292,0.19464,0.52135,0.78342,0.98338,0.94394,0.995,0.95084,0.28456,0.26911,0.74918,0.000665317,0.000665317,0.000665317
63,688.918,0.18344,0.51074,0.78801,0.96602,0.9501,0.995,0.93971,0.2899,0.26678,0.75037,0.000662568,0.000662568,0.000662568
64,699.529,0.18745,0.48234,0.78754,0.97233,0.9475,0.995,0.95188,0.28338,0.26919,0.74778,0.000659819,0.000659819,0.000659819
65,710.195,0.19906,0.50582,0.78025,0.97669,0.9461,0.995,0.94561,0.30445,0.2733,0.75113,0.00065707,0.00065707,0.00065707
66,720.836,0.19377,0.49218,0.79201,0.97949,0.94579,0.995,0.94623,0.28435,0.26303,0.7444,0.000654321,0.000654321,0.000654321
67,731.486,0.19432,0.44607,0.78194,0.98391,0.94439,0.995,0.94173,0.28032,0.24349,0.74657,0.000651573,0.000651573,0.000651573
68,742.122,0.19604,0.43603,0.77433,0.98086,0.94494,0.995,0.93528,0.30713,0.2707,0.75311,0.000648824,0.000648824,0.000648824
69,752.732,0.19919,0.4673,0.78029,0.97886,0.94505,0.995,0.94505,0.28004,0.25991,0.74719,0.000646075,0.000646075,0.000646075
70,763.639,0.18887,0.43855,0.78155,0.98366,0.94501,0.995,0.95111,0.30255,0.23826,0.75287,0.000643326,0.000643326,0.000643326
71,774.522,0.19275,0.43402,0.78405,0.98172,0.94601,0.995,0.94875,0.3018,0.24955,0.7548,0.000640577,0.000640577,0.000640577
72,785.383,0.18033,0.43503,0.78671,0.97505,0.94823,0.995,0.93676,0.3138,0.24223,0.75974,0.000637828,0.000637828,0.000637828
73,796.584,0.19131,0.43191,0.78007,0.97915,0.94248,0.995,0.9375,0.30969,0.26565,0.75777,0.000635079,0.000635079,0.000635079
74,807.654,0.17782,0.41551,0.78297,0.98193,0.94255,0.995,0.94244,0.3076,0.24643,0.75806,0.00063233,0.00063233,0.00063233
75,818.717,0.18055,0.43788,0.78402,0.97538,0.95071,0.995,0.93993,0.30685,0.24316,0.75956,0.000629581,0.000629581,0.000629581
76,829.495,0.18828,0.41818,0.78292,0.98146,0.94345,0.995,0.94525,0.30484,0.25055,0.75138,0.000626832,0.000626832,0.000626832
77,840.202,0.18831,0.4201,0.78749,0.96787,0.94972,0.995,0.95125,0.29219,0.26102,0.74895,0.000624084,0.000624084,0.000624084
78,850.978,0.19602,0.4186,0.77675,0.95801,0.9522,0.995,0.95054,0.31124,0.25367,0.75267,0.000621335,0.000621335,0.000621335
79,861.625,0.1953,0.42579,0.78022,0.95035,0.95257,0.995,0.94744,0.31214,0.25042,0.75229,0.000618586,0.000618586,0.000618586
80,872.269,0.18227,0.39785,0.78295,0.94376,0.95451,0.995,0.9415,0.30951,0.24302,0.75339,0.000615837,0.000615837,0.000615837
81,882.871,0.18394,0.39593,0.77627,0.93887,0.95185,0.995,0.94255,0.31572,0.27459,0.75757,0.000613088,0.000613088,0.000613088
82,893.581,0.18792,0.3961,0.78528,0.95264,0.95066,0.995,0.94015,0.30443,0.27595,0.75422,0.000610339,0.000610339,0.000610339
83,904.21,0.18989,0.39666,0.78108,0.92515,0.95338,0.995,0.95664,0.29846,0.28712,0.75293,0.00060759,0.00060759,0.00060759
84,915.038,0.18345,0.38708,0.78174,0.94381,0.95272,0.995,0.95937,0.2767,0.24735,0.74767,0.000604841,0.000604841,0.000604841
85,925.799,0.18667,0.39207,0.78758,0.95473,0.95122,0.995,0.94521,0.28187,0.24652,0.74575,0.000602092,0.000602092,0.000602092
86,936.486,0.18306,0.37861,0.78017,0.95926,0.95136,0.995,0.94231,0.30201,0.26239,0.74728,0.000599343,0.000599343,0.000599343
87,947.204,0.18186,0.37386,0.77988,0.92704,0.95357,0.995,0.94197,0.30215,0.295,0.74807,0.000596595,0.000596595,0.000596595
88,957.93,0.18784,0.34899,0.7798,0.96675,0.94878,0.995,0.94908,0.30147,0.28265,0.74993,0.000593846,0.000593846,0.000593846
89,968.661,0.18024,0.35623,0.78232,0.96202,0.95082,0.995,0.94998,0.29449,0.26948,0.75001,0.000591097,0.000591097,0.000591097
90,979.395,0.18253,0.3457,0.78282,0.95939,0.95088,0.995,0.94427,0.30714,0.26759,0.75322,0.000588348,0.000588348,0.000588348
91,990.045,0.18034,0.34876,0.78068,0.95424,0.95029,0.995,0.94157,0.3181,0.28804,0.75723,0.000585599,0.000585599,0.000585599
92,1000.86,0.18316,0.34646,0.78212,0.95325,0.95052,0.995,0.94894,0.30239,0.2812,0.75108,0.00058285,0.00058285,0.00058285
93,1011.55,0.1797,0.35035,0.79159,0.95344,0.95064,0.995,0.95481,0.28956,0.2539,0.74739,0.000580101,0.000580101,0.000580101
94,1022.23,0.17512,0.3333,0.78677,0.95919,0.95091,0.995,0.94568,0.30081,0.26191,0.74712,0.000577352,0.000577352,0.000577352
95,1032.98,0.1696,0.32904,0.78446,0.96117,0.94995,0.995,0.94504,0.29662,0.24841,0.74973,0.000574603,0.000574603,0.000574603
96,1043.55,0.17806,0.32814,0.782,0.96965,0.94737,0.995,0.94754,0.29937,0.24596,0.75366,0.000571854,0.000571854,0.000571854
97,1054.11,0.17452,0.31947,0.78759,0.97523,0.94536,0.995,0.94386,0.31194,0.24725,0.75805,0.000569106,0.000569106,0.000569106
98,1064.61,0.16925,0.33252,0.78877,0.97552,0.94571,0.995,0.93864,0.31971,0.2466,0.76205,0.000566357,0.000566357,0.000566357
99,1075.15,0.16583,0.32864,0.776,0.97475,0.94706,0.995,0.94238,0.32491,0.2485,0.76347,0.000563608,0.000563608,0.000563608
100,1085.67,0.16939,0.32586,0.77941,0.95575,0.95292,0.995,0.95288,0.30419,0.25685,0.7521,0.000560859,0.000560859,0.000560859
101,1096.18,0.1625,0.30068,0.77608,0.9432,0.95217,0.995,0.93511,0.30541,0.25461,0.7521,0.00055811,0.00055811,0.00055811
102,1106.73,0.16142,0.30611,0.76543,0.93506,0.95225,0.995,0.95326,0.28926,0.25434,0.74982,0.000555361,0.000555361,0.000555361
103,1117.25,0.17204,0.30633,0.77996,0.94536,0.95101,0.995,0.95303,0.3022,0.26463,0.75096,0.000552612,0.000552612,0.000552612
104,1127.81,0.17972,0.31236,0.78592,0.95497,0.95158,0.995,0.94852,0.29969,0.27095,0.7524,0.000549863,0.000549863,0.000549863
105,1138.34,0.17329,0.31111,0.77931,0.97145,0.9472,0.995,0.95002,0.29696,0.26363,0.75344,0.000547114,0.000547114,0.000547114
106,1148.85,0.16787,0.29204,0.77177,0.97667,0.94493,0.995,0.95595,0.30104,0.26033,0.75428,0.000544365,0.000544365,0.000544365
107,1159.4,0.16855,0.29561,0.77674,0.97288,0.94593,0.995,0.95519,0.29465,0.25383,0.74571,0.000541617,0.000541617,0.000541617
108,1169.97,0.16151,0.29262,0.779,0.97763,0.94495,0.995,0.95505,0.28849,0.26242,0.74449,0.000538868,0.000538868,0.000538868
109,1180.51,0.1683,0.29934,0.78329,0.97816,0.94485,0.995,0.94431,0.28995,0.2692,0.74949,0.000536119,0.000536119,0.000536119
110,1191.11,0.16537,0.28892,0.77653,0.98029,0.94437,0.995,0.93589,0.30272,0.28503,0.75427,0.00053337,0.00053337,0.00053337
111,1201.65,0.16137,0.30105,0.77881,0.97232,0.94666,0.995,0.92783,0.29751,0.26928,0.75063,0.000530621,0.000530621,0.000530621
112,1212.15,0.15524,0.28068,0.77586,0.96814,0.93635,0.97417,0.92139,0.308,0.27003,0.75395,0.000527872,0.000527872,0.000527872
113,1222.82,0.17303,0.2948,0.77745,0.95167,0.92808,0.96375,0.91928,0.29923,0.25103,0.75064,0.000525123,0.000525123,0.000525123
114,1233.6,0.16473,0.2835,0.77934,0.97061,0.9375,0.96375,0.93245,0.28557,0.25457,0.74556,0.000522374,0.000522374,0.000522374
115,1244.69,0.15355,0.2732,0.77803,0.96935,0.94721,0.995,0.92089,0.29327,0.25865,0.75025,0.000519625,0.000519625,0.000519625
116,1255.67,0.16575,0.29066,0.77196,0.97708,0.94413,0.995,0.93395,0.30308,0.27891,0.75465,0.000516877,0.000516877,0.000516877
117,1266.36,0.16651,0.28251,0.77476,0.981,0.94294,0.995,0.92472,0.3007,0.2719,0.75589,0.000514128,0.000514128,0.000514128
118,1276.9,0.1673,0.27758,0.77359,0.97335,0.94436,0.995,0.94623,0.2953,0.27199,0.75061,0.000511379,0.000511379,0.000511379
119,1287.66,0.16067,0.27131,0.77293,0.97126,0.9462,0.995,0.92891,0.29342,0.26642,0.74939,0.00050863,0.00050863,0.00050863
120,1298.39,0.16353,0.28537,0.78521,0.975,0.94571,0.995,0.95426,0.28442,0.23688,0.74647,0.000505881,0.000505881,0.000505881
121,1308.96,0.155,0.26251,0.77569,0.97716,0.94485,0.995,0.95469,0.28821,0.25086,0.74787,0.000503132,0.000503132,0.000503132
122,1319.56,0.1585,0.26273,0.77894,0.97368,0.94896,0.995,0.95483,0.28836,0.2188,0.74787,0.000500383,0.000500383,0.000500383
123,1330.35,0.15259,0.26214,0.77378,0.96552,0.96914,0.995,0.9512,0.29445,0.20195,0.74929,0.000497634,0.000497634,0.000497634
124,1340.95,0.15975,0.26461,0.77649,0.95261,0.98692,0.995,0.95006,0.29115,0.2055,0.75322,0.000494885,0.000494885,0.000494885
125,1351.52,0.16009,0.26872,0.78114,0.98034,0.94646,0.995,0.93255,0.30792,0.21484,0.75514,0.000492136,0.000492136,0.000492136
126,1362.21,0.1576,0.26302,0.78549,0.97833,0.94843,0.995,0.94287,0.30835,0.22742,0.7522,0.000489387,0.000489387,0.000489387
127,1372.79,0.16301,0.26633,0.77851,0.9385,0.96296,0.995,0.94036,0.29766,0.26355,0.75348,0.000486639,0.000486639,0.000486639
128,1383.28,0.1551,0.25837,0.77934,0.95883,0.95412,0.995,0.94422,0.29709,0.24714,0.75527,0.00048389,0.00048389,0.00048389
129,1393.83,0.16016,0.25321,0.76645,0.9754,0.94683,0.995,0.93661,0.30715,0.24087,0.75673,0.000481141,0.000481141,0.000481141
130,1404.29,0.15926,0.26285,0.77495,0.96727,0.94819,0.995,0.95421,0.29984,0.24141,0.75386,0.000478392,0.000478392,0.000478392
131,1414.76,0.16141,0.25611,0.77882,0.97756,0.94539,0.995,0.94529,0.28829,0.22453,0.75212,0.000475643,0.000475643,0.000475643
132,1425.25,0.15029,0.25158,0.77248,0.98331,0.94431,0.995,0.94831,0.29085,0.22843,0.75203,0.000472894,0.000472894,0.000472894
133,1435.66,0.16277,0.25565,0.77574,0.9822,0.94399,0.995,0.93976,0.28553,0.22573,0.75089,0.000470145,0.000470145,0.000470145
134,1446.25,0.15055,0.2546,0.77296,0.97659,0.94632,0.995,0.94924,0.28614,0.24091,0.74835,0.000467396,0.000467396,0.000467396
135,1457.28,0.15315,0.25292,0.77723,0.97585,0.94487,0.995,0.94133,0.29516,0.26266,0.7517,0.000464647,0.000464647,0.000464647
136,1467.72,0.15872,0.2509,0.78686,0.978,0.94511,0.995,0.95347,0.29647,0.27066,0.75313,0.000461898,0.000461898,0.000461898
137,1478.12,0.1617,0.25353,0.77788,0.96461,0.93343,0.97417,0.92732,0.29638,0.2936,0.7566,0.00045915,0.00045915,0.00045915
138,1488.59,0.16733,0.25754,0.77295,0.96231,0.9318,0.97417,0.93614,0.30234,0.28743,0.75769,0.000456401,0.000456401,0.000456401
139,1499.05,0.16275,0.2535,0.77442,0.9656,0.94899,0.995,0.95318,0.28844,0.27732,0.75275,0.000453652,0.000453652,0.000453652
140,1509.53,0.16259,0.25799,0.7763,0.96682,0.94807,0.995,0.94398,0.29443,0.25667,0.75177,0.000450903,0.000450903,0.000450903
141,1519.96,0.15993,0.24795,0.77537,0.96708,0.94834,0.995,0.94847,0.28432,0.25326,0.74775,0.000448154,0.000448154,0.000448154
142,1530.34,0.14872,0.24645,0.78015,0.97004,0.94785,0.995,0.95189,0.29109,0.23028,0.74802,0.000445405,0.000445405,0.000445405
143,1540.75,0.15736,0.2441,0.77524,0.96556,0.94849,0.995,0.93712,0.28021,0.23302,0.74354,0.000442656,0.000442656,0.000442656
